id,fake,real
TEST_00000,0.366081565618515,0.8470256328582764
TEST_00001,0.06029767170548439,0.9747599959373474
TEST_00002,0.10593609511852264,0.9479921460151672
TEST_00003,0.018149923533201218,0.9851648807525635
TEST_00004,0.12573662400245667,0.8798631429672241
TEST_00005,0.009419634006917477,0.9894648790359497
TEST_00006,0.036412935703992844,0.9845387935638428
TEST_00007,0.0005245808861218393,0.9994449019432068
TEST_00008,0.0004777841968461871,0.9991870522499084
TEST_00009,0.007945729419589043,0.9966443777084351
TEST_00010,0.9171725511550903,0.11058411002159119
TEST_00011,0.8203557133674622,0.12426552921533585
TEST_00012,3.180867622631922e-07,0.9999996423721313
TEST_00013,0.16439883410930634,0.7865382432937622
TEST_00014,0.9418296217918396,0.054282352328300476
TEST_00015,0.12586897611618042,0.8823860883712769
TEST_00016,0.0017465632408857346,0.9984560012817383
TEST_00017,0.06835048645734787,0.9170728921890259
TEST_00018,9.12278028408764e-06,0.9999748468399048
TEST_00019,0.36498475074768066,0.5861833691596985
TEST_00020,0.0004664133011829108,0.9994508624076843
TEST_00021,0.013906719163060188,0.9909180402755737
TEST_00022,0.0244329534471035,0.9009273052215576
TEST_00023,0.20740602910518646,0.7860844135284424
TEST_00024,0.013069628737866879,0.9865982532501221
TEST_00025,0.9165357351303101,0.07869105786085129
TEST_00026,0.9865925908088684,0.012413481250405312
TEST_00027,0.00756202032789588,0.9945887327194214
TEST_00028,0.2305436134338379,0.7375096082687378
TEST_00029,0.9757716059684753,0.03572355583310127
TEST_00030,0.035548608750104904,0.9730153679847717
TEST_00031,0.6547370553016663,0.2757894694805145
TEST_00032,0.9814924597740173,0.01606075093150139
TEST_00033,0.045089639723300934,0.9554837942123413
TEST_00034,0.0002532766084186733,0.9998558759689331
TEST_00035,0.00044698911369778216,0.999760091304779
TEST_00036,0.47007063031196594,0.5064833760261536
TEST_00037,0.11709153652191162,0.8881379961967468
TEST_00038,0.005203403532505035,0.9951169490814209
TEST_00039,0.19097431004047394,0.8541041016578674
TEST_00040,0.0025623608380556107,0.996444046497345
TEST_00041,0.005886513274163008,0.9979640245437622
TEST_00042,0.029345300048589706,0.9839091897010803
TEST_00043,3.2622527214698493e-05,0.9999442100524902
TEST_00044,0.6231810450553894,0.3585788309574127
TEST_00045,0.03256870433688164,0.9768313765525818
TEST_00046,0.0001919983624247834,0.9999183416366577
TEST_00047,0.0014921040274202824,0.9983975291252136
TEST_00048,0.005346525926142931,0.9955641031265259
TEST_00049,0.00012767745647579432,0.9998363256454468
TEST_00050,0.014879382215440273,0.9852316379547119
TEST_00051,0.06298980116844177,0.9034929871559143
TEST_00052,0.027730366215109825,0.9846965074539185
TEST_00053,0.5229430794715881,0.4804370701313019
TEST_00054,0.03268466517329216,0.9827033281326294
TEST_00055,0.9891407489776611,0.01020539365708828
TEST_00056,0.9861570596694946,0.01298933569341898
TEST_00057,0.0002978860284201801,0.999358594417572
TEST_00058,0.5494852662086487,0.5165891051292419
TEST_00059,0.17543092370033264,0.6985281109809875
TEST_00060,0.0004586529394146055,0.9991979002952576
TEST_00061,1.1698066373355687e-05,0.999957799911499
TEST_00062,0.00035051628947257996,0.999789297580719
TEST_00063,0.017443718388676643,0.9878650307655334
TEST_00064,0.023006441071629524,0.987862229347229
TEST_00065,0.0006860099383629858,0.9994366765022278
TEST_00066,0.01215510256588459,0.984836995601654
TEST_00067,0.060469042509794235,0.9424859881401062
TEST_00068,0.0006616413011215627,0.9996938705444336
TEST_00069,0.05297483131289482,0.9544041156768799
TEST_00070,0.39957892894744873,0.5227798819541931
TEST_00071,0.09711992740631104,0.9362902045249939
TEST_00072,0.014946705661714077,0.9743838310241699
TEST_00073,7.571105697934399e-07,0.9999990463256836
TEST_00074,0.1895696073770523,0.8279900550842285
TEST_00075,0.19515860080718994,0.835192859172821
TEST_00076,0.5243382453918457,0.40736788511276245
TEST_00077,0.022738244384527206,0.9765916466712952
TEST_00078,3.533526538035403e-08,1.0
TEST_00079,0.1012696921825409,0.8218614459037781
TEST_00080,0.011157684959471226,0.9916702508926392
TEST_00081,0.7548481822013855,0.20349165797233582
TEST_00082,0.0007061221986077726,0.9992800354957581
TEST_00083,0.01247525867074728,0.9904943704605103
TEST_00084,0.07915554940700531,0.9228114485740662
TEST_00085,0.006346176378428936,0.9942725896835327
TEST_00086,0.07538998126983643,0.9361171126365662
TEST_00087,0.7231268882751465,0.282074511051178
TEST_00088,0.12104032933712006,0.8925108909606934
TEST_00089,0.01188381016254425,0.9914469718933105
TEST_00090,0.015033794566988945,0.9871602058410645
TEST_00091,5.5968134802242275e-06,0.9999785423278809
TEST_00092,0.027656661346554756,0.9841305613517761
TEST_00093,0.0006949781090952456,0.9990049004554749
TEST_00094,0.0017329842085018754,0.9986016154289246
TEST_00095,0.06832439452409744,0.9683890342712402
TEST_00096,0.004670801106840372,0.9983811378479004
TEST_00097,0.00011290606926195323,0.9998576641082764
TEST_00098,0.24557475745677948,0.8513173460960388
TEST_00099,4.6551092964364216e-05,0.999924898147583
TEST_00100,0.34048551321029663,0.6809290647506714
TEST_00101,0.561820924282074,0.45433908700942993
TEST_00102,0.000518003711476922,0.9992842078208923
TEST_00103,0.3523881137371063,0.6454644799232483
TEST_00104,0.0041237748228013515,0.9976159334182739
TEST_00105,0.0008504295838065445,0.99894779920578
TEST_00106,0.9858173727989197,0.025541573762893677
TEST_00107,0.00032687114435248077,0.9995535016059875
TEST_00108,2.5785144316614605e-05,0.9998874664306641
TEST_00109,0.4718920588493347,0.35824447870254517
TEST_00110,0.10177124291658401,0.7886085510253906
TEST_00111,0.006800677627325058,0.9926607608795166
TEST_00112,0.9508546590805054,0.05570261552929878
TEST_00113,0.7943646311759949,0.20143753290176392
TEST_00114,0.0007660227129235864,0.998690664768219
TEST_00115,0.0013734381645917892,0.999026894569397
TEST_00116,0.11789564043283463,0.9231593012809753
TEST_00117,0.5108224749565125,0.5345278382301331
TEST_00118,0.09353810548782349,0.9716606736183167
TEST_00119,0.0009419009438715875,0.9994902610778809
TEST_00120,0.3564716875553131,0.7682075500488281
TEST_00121,0.0024880701676011086,0.9979996085166931
